time,flux,flux_err
-1.371160905,1.000307752,0.000407897
-1.369772017,1.000345022,0.000476537
-1.368383128,1.000269386,0.000546401
-1.366994239,0.999566599,0.000504215
-1.36560535,0.999352159,0.000299041
-1.364216461,1.000080432,0.000382085
-1.362827572,1.00043806,0.00034736
-1.361438683,1.000018635,0.00036963
-1.360049794,1.000289939,0.000339722
-1.358660905,0.999937244,0.000307484
-1.357272017,0.999712802,0.000305549
-1.355883128,1.000032748,0.000552459
-1.354494239,0.999639426,0.000292585
-1.35310535,0.999840095,0.000647173
-1.351716461,0.999464586,0.000576387
-1.350327572,0.999996986,0.000438057
-1.348938683,1.000094408,0.000321515
-1.347549794,1.000404078,0.000472927
-1.346160905,0.99950165,0.000535286
-1.344772017,1.000510956,0.000569842
-1.343383128,1.000521506,0.000500621
-1.341994239,0.999862909,0.000472083
-1.34060535,0.999088254,0.000414281
-1.339216461,0.999747948,0.000356695
-1.337827572,0.999883394,0.000456813
-1.336438683,0.999895863,0.000497003
-1.335049794,1.000498898,0.0004093
-1.333660905,0.999617092,0.000630686
-1.332272017,1.000550418,0.000321389
-1.330883128,1.000421754,0.0005199
-1.329494239,0.999130046,0.000529698
-1.32810535,1.000443541,0.0004788
-1.326716461,1.000158809,0.000454137
-1.325327572,1.000114414,0.000540316
-1.323938683,1.000082487,0.00041401
-1.322549794,1.000985738,0.000514451
-1.321160905,1.000304326,0.00052297
-1.319772017,1.000130034,0.000552555
-1.318383128,0.999937997,0.000537788
-1.316994239,1.000408737,0.000655369
-1.31560535,0.999747879,0.000359989
-1.314216461,1.000585633,0.000570303
-1.312827572,1.000081254,0.000331162
-1.311438683,1.000150724,0.000631961
-1.310049794,0.999568517,0.000639273
-1.308660905,1.000061797,0.00044187
-1.307272017,1.000033022,0.000487051
-1.305883128,1.000992178,0.000403913
-1.304494239,1.000619888,0.000499238
-1.30310535,1.000432442,0.000417629
-1.301716461,0.999848453,0.000553575
-1.300327572,0.999841328,0.000552569
-1.298938683,0.999659705,0.00031144
-1.297549794,1.000742934,0.000497444
-1.296160905,1.001008757,0.000597572
-1.294772017,0.999706156,0.00040617
-1.293383128,1.000245818,0.000508364
-1.291994239,1.000016991,0.000435039
-1.29060535,1.000008769,0.000444725
-1.289216461,0.999561118,0.000503729
-1.287827572,1.000811719,0.000639332
-1.286438683,1.000260616,0.000399987
-1.285049794,1.000103315,0.000566956
-1.283660905,0.999789671,0.000435029
-1.282272017,1.000218824,0.00031025
-1.280883128,1.000452584,0.000412787
-1.279494239,1.000126746,0.000416016
-1.27810535,1.000448063,0.000482136
-1.276716461,1.000314055,0.000455659
-1.275327572,1.001023556,0.000258562
-1.273938683,1.000091531,0.000379305
-1.272549794,1.000247462,0.000480768
-1.271160905,1.001609051,0.00057808
-1.269772017,1.000188543,0.000397183
-1.268383128,1.000275278,0.000587213
-1.266994239,1.000719503,0.000504438
-1.26560535,0.999813924,0.000376649
-1.264216461,1.000091805,0.000585299
-1.262827572,1.000409696,0.000305392
-1.261438683,0.999916965,0.000504588
-1.260049794,1.00044957,0.00062838
-1.258660905,1.000728684,0.000432252
-1.257272017,0.999501308,0.000305547
-1.255883128,0.999774941,0.000301164
-1.254494239,0.998875254,0.000605023
-1.25310535,1.000372837,0.000379175
-1.251716461,1.000035626,0.000428514
-1.250327572,1.000720874,0.000473344
-1.248938683,0.999867363,0.000516948
-1.247549794,0.999554198,0.000635059
-1.246160905,1.000346666,0.000443556
-1.244772017,0.999734794,0.000512571
-1.243383128,1.0000322,0.000414126
-1.241994239,1.000355298,0.000499807
-1.24060535,1.000208685,0.000554298
-1.239216461,1.000208548,0.000408284
-1.237827572,0.999206916,0.000483906
-1.236438683,0.999514051,0.000387334
-1.235049794,1.000518492,0.000518005
-1.233660905,0.999679163,0.000419445
-1.232272017,0.99920486,0.000509447
-1.230883128,1.000761432,0.000308015
-1.229494239,0.999688206,0.00042016
-1.22810535,1.000090298,0.000359869
-1.226716461,1.000369138,0.000479568
-1.225327572,1.000551377,0.000536289
-1.223938683,0.999678066,0.000488473
-1.222549794,0.999888875,0.00038746
-1.221160905,1.00068881,0.000669534
-1.219772017,0.999998356,0.00038606
-1.218383128,1.000070018,0.000429865
-1.216994239,1.000212384,0.000437329
-1.21560535,0.99984126,0.000529489
-1.214216461,0.999811115,0.000491046
-1.212827572,0.999978076,0.000484991
-1.211438683,1.000173333,0.000554742
-1.210049794,1.000376948,0.000416819
-1.208660905,1.000877079,0.000531545
-1.207272017,0.999264328,0.00033882
-1.205883128,1.000287884,0.000485598
-1.204494239,1.00043806,0.000516967
-1.20310535,1.000311999,0.000630985
-1.201716461,0.999335168,0.000508967
-1.200327572,1.000398049,0.000507762
-1.198938683,1.00012469,0.000343796
-1.197549794,1.000080021,0.00027413
-1.196160905,0.99974233,0.000550403
-1.194772017,0.999407859,0.00070417
-1.193383128,0.999985407,0.000433615
-1.191994239,1.00003357,0.000645926
-1.19060535,0.999998493,0.00042037
-1.189216461,1.000214988,0.000390164
-1.187827572,1.000190324,0.000505039
-1.186438683,0.999883463,0.000501575
-1.185049794,0.999713007,0.000352198
-1.183660905,1.000066045,0.000455771
-1.182272017,1.000042066,0.000501698
-1.180883128,0.999637645,0.000253198
-1.179494239,1.000821859,0.000492889
-1.17810535,0.999390114,0.000571326
-1.176716461,0.999061535,0.000321418
-1.175327572,0.999424438,0.00033613
-1.173938683,1.00068333,0.00037106
-1.172549794,1.001087956,0.000311349
-1.171160905,1.00032488,0.000486717
-1.169772017,0.999821734,0.000353705
-1.168383128,1.000755129,0.000470942
-1.166994239,1.000496705,0.000617357
-1.16560535,0.999979721,0.000532262
-1.164216461,1.000600294,0.000466417
-1.162827572,1.000451488,0.000593903
-1.161438683,0.999854756,0.000434256
-1.160049794,1.000226224,0.000349559
-1.158660905,0.999777545,0.000480193
-1.157272017,1.000120854,0.000394508
-1.155883128,0.998982542,0.000702395
-1.154494239,1.000144147,0.000728831
-1.15310535,1.000291035,0.000442596
-1.151716461,0.999649977,0.000560126
-1.150327572,1.000391746,0.000197302
-1.148938683,0.999325782,0.000282707
-1.147549794,0.999480686,0.000497518
-1.146160905,1.000374345,0.000651233
-1.144772017,0.999787684,0.000457515
-1.143383128,1.000575904,0.000328142
-1.141994239,0.999878187,0.000496708
-1.14060535,0.99954536,0.000528717
-1.139216461,1.000383936,0.00034564
-1.137827572,0.999846467,0.00042066
-1.136438683,1.000282677,0.000389065
-1.135049794,0.999148544,0.000364943
-1.133660905,0.999308723,0.00056032
-1.132272017,1.000213344,0.000519216
-1.130883128,1.000455462,0.000402604
-1.129494239,0.999864417,0.000520227
-1.12810535,1.00079007,0.000451065
-1.126716461,1.000393117,0.000584242
-1.125327572,0.999693824,0.000592578
-1.123938683,1.000622081,0.000477686
-1.122549794,0.999801866,0.000424698
-1.121160905,0.999440127,0.00043219
-1.119772017,0.999498773,0.000505379
-1.118383128,1.0003801,0.000326865
-1.116994239,0.999496512,0.000312145
-1.11560535,1.0002724,0.000451174
-1.114216461,1.000339541,0.00042044
-1.112827572,0.999610583,0.00030273
-1.111438683,1.000656199,0.000339996
-1.110049794,1.000083995,0.000361898
-1.108660905,0.999840095,0.000323726
-1.107272017,1.000308985,0.000395941
-1.105883128,0.999966704,0.000570051
-1.104494239,1.000451762,0.000345228
-1.10310535,0.999747879,0.000362785
-1.101716461,0.999097092,0.000552655
-1.100327572,0.999302557,0.000504022
-1.098938683,0.999708417,0.000642511
-1.097549794,1.000605912,0.0004326
-1.096160905,0.999597292,0.000398184
-1.094772017,0.999723421,0.000501649
-1.093383128,0.999661144,0.00049371
-1.091994239,1.000163879,0.000426059
-1.09060535,1.000588647,0.000461666
-1.089216461,1.000777464,0.000460835
-1.087827572,1.00126403,0.000418174
-1.086438683,0.999405461,0.000520169
-1.085049794,1.000317754,0.00053584
-1.083660905,1.000006851,0.000626749
-1.082272017,0.999747126,0.000320287
-1.080883128,1.000436964,0.000436315
-1.079494239,0.999581329,0.000392247
-1.07810535,1.000528632,0.000439944
-1.076716461,0.99893061,0.000603224
-1.075327572,0.999570641,0.000453634
-1.073938683,0.999338388,0.000505033
-1.072549794,0.99970369,0.000737093
-1.071160905,1.000313918,0.000386276
-1.069772017,0.999633466,0.000729536
-1.068383128,0.999402515,0.000469879
-1.066994239,1.000118113,0.000373441
-1.06560535,1.000319262,0.000714357
-1.064216461,1.000358724,0.000390685
-1.062827572,1.000133871,0.000456098
-1.061438683,0.999950946,0.000388775
-1.060049794,1.000142366,0.000631131
-1.058660905,1.000807746,0.000833991
-1.057272017,1.000087831,0.000351569
-1.055883128,1.000152095,0.000290475
-1.054494239,1.001303766,0.000537735
-1.05310535,1.001108783,0.000438145
-1.051716461,1.000191009,0.000358894
-1.050327572,0.999942314,0.000451872
-1.048938683,1.000951208,0.000365599
-1.047549794,0.999658952,0.000376966
-1.046160905,0.999764938,0.000500215
-1.044772017,1.000180869,0.00038914
-1.043383128,1.000022061,0.000438393
-1.041994239,0.998889093,0.000514516
-1.04060535,1.000828984,0.000389133
-1.039216461,1.000029049,0.00038972
-1.037827572,0.999652649,0.000319434
-1.036438683,1.00114208,0.000499274
-1.035049794,1.001077953,0.000457911
-1.033660905,1.000093723,0.000460025
-1.032272017,0.999969787,0.000637264
-1.030883128,1.001028214,0.000391528
-1.029494239,0.99941608,0.00045292
-1.02810535,1.000071115,0.000402936
-1.026716461,1.000736494,0.000551187
-1.025327572,1.001054249,0.000362754
-1.023938683,1.000533838,0.000550451
-1.022549794,1.000465738,0.000550223
-1.021160905,0.999955057,0.000441344
-1.019772017,0.99952789,0.00039567
-1.018383128,0.999886957,0.000523251
-1.016994239,1.000342144,0.000743833
-1.01560535,0.999494388,0.000406463
-1.014216461,1.000674286,0.000491828
-1.012827572,0.999793165,0.000344191
-1.011438683,1.000301997,0.000575549
-1.010049794,1.000204163,0.000414366
-1.008660905,1.000196764,0.000547995
-1.007272017,0.999983968,0.000395265
-1.005883128,0.999850235,0.000410147
-1.004494239,1.000125512,0.000519357
-1.00310535,0.999745207,0.000459704
-1.001716461,0.99984722,0.000644184
-1.000327572,0.999952179,0.000278592
-0.998938683,1.000203752,0.000399777
-0.997549794,0.999146215,0.000520494
-0.996160905,1.000126197,0.000542674
-0.994772017,1.000322687,0.000496943
-0.993383128,1.000288843,0.000511301
-0.991994239,0.999777819,0.000438939
-0.99060535,0.999697112,0.000347126
-0.989216461,1.000405449,0.000548519
-0.987827572,1.000894755,0.000658779
-0.986438683,1.000745264,0.000500724
-0.985049794,1.00042148,0.000582986
-0.983660905,0.999805223,0.000524852
-0.982272017,1.000975598,0.000360993
-0.980883128,1.000816926,0.000469247
-0.979494239,0.999744317,0.000417612
-0.97810535,0.999892643,0.000444182
-0.976716461,0.999621545,0.000460543
-0.975327572,1.00053192,0.000373721
-0.973938683,1.000346118,0.000575158
-0.972549794,0.999748016,0.000542115
-0.971160905,0.998683354,0.000344675
-0.969772017,1.000212247,0.000484193
-0.968383128,1.000081117,0.000512327
-0.966994239,1.000027953,0.000532082
-0.96560535,0.999677039,0.000549784
-0.964216461,1.001492171,0.000428587
-0.962827572,0.999749935,0.000416927
-0.961438683,0.999722667,0.000413012
-0.960049794,0.99942115,0.000420328
-0.958660905,0.999371411,0.000362922
-0.957272017,1.000391883,0.000609167
-0.955883128,1.000121402,0.000448992
-0.954494239,0.999057356,0.000278762
-0.95310535,0.999536523,0.00050489
-0.951716461,1.000499446,0.000387906
