time,flux,flux_err
-1.371030419,1.000341459,0.000453493
-1.36964153,0.999899015,0.000280695
-1.368252642,0.999940327,0.00041412
-1.366863753,1.000435868,0.000395771
-1.365474864,1.000197449,0.000239206
-1.364085975,0.999826941,0.000320241
-1.362697086,1.000218824,0.000423248
-1.361308197,1.000479167,0.000409293
-1.359919308,1.000182925,0.000523168
-1.358530419,1.000500679,0.000376995
-1.35714153,0.999805154,0.00040858
-1.355752642,0.999990957,0.000265305
-1.354363753,0.998889709,0.000432392
-1.352974864,1.000584674,0.000535772
-1.351585975,0.999373466,0.000359611
-1.350197086,1.001149342,0.000499788
-1.348808197,1.000243899,0.000828902
-1.347419308,1.000709501,0.000382628
-1.346030419,1.000039462,0.000468775
-1.34464153,0.999966156,0.00039109
-1.343252642,0.999566051,0.000340751
-1.341863753,1.000001507,0.000564307
-1.340474864,0.999908058,0.000512932
-1.339085975,1.00006536,0.000391545
-1.337697086,0.999881955,0.000289142
-1.336308197,1.000210877,0.000566385
-1.334919308,1.000204163,0.000433411
-1.333530419,0.999874282,0.000438706
-1.33214153,0.999405529,0.000482182
-1.330752642,0.999901344,0.000287115
-1.329363753,0.999505281,0.000329546
-1.327974864,0.999769049,0.000574533
-1.326585975,0.999825845,0.000374628
-1.325197086,0.999745344,0.000547444
-1.323808197,0.999993423,0.000388673
-1.322419308,0.99978467,0.000542627
-1.321030419,0.999425329,0.000605946
-1.31964153,0.999453282,0.000474445
-1.318252642,0.999802208,0.000324633
-1.316863753,1.000447514,0.000593427
-1.315474864,0.999744933,0.000520858
-1.314085975,1.001029037,0.000646537
-1.312697086,1.00011044,0.000507997
-1.311308197,0.9996917,0.000501156
-1.309919308,1.000321728,0.000301223
-1.308530419,1.0000037,0.000414573
-1.30714153,0.999242062,0.000302361
-1.305752642,1.000440663,0.000387292
-1.304363753,1.000196353,0.000275952
-1.302974864,1.000112084,0.00040858
-1.301585975,1.000429565,0.000308013
-1.300197086,0.999739452,0.000560608
-1.298808197,1.000394898,0.000328003
-1.297419308,0.999175332,0.000370844
-1.296030419,0.999466025,0.000182249
-1.29464153,1.000202245,0.000547183
-1.293252642,1.000601116,0.000310162
-1.291863753,1.000105507,0.000209833
-1.290474864,0.999781724,0.000374376
-1.289085975,0.999623052,0.000485866
-1.287697086,1.000352969,0.000472572
-1.286308197,1.000931203,0.000649193
-1.284919308,0.999974514,0.000473169
-1.283530419,1.001139887,0.00060876
-1.28214153,1.000254587,0.000526276
-1.280752642,1.000014524,0.000476651
-1.279363753,1.000800621,0.000386765
-1.277974864,0.999428412,0.000222847
-1.276585975,0.999867979,0.000374811
-1.275197086,0.99977638,0.000363839
-1.273808197,1.000353517,0.000438113
-1.272419308,0.999018168,0.000380096
-1.271030419,0.999031322,0.000507468
-1.26964153,1.000207726,0.000256598
-1.268252642,0.999917033,0.000393065
-1.266863753,1.00070772,0.000558218
-1.265474864,0.999511379,0.000376435
-1.264085975,1.0001684,0.000584436
-1.262697086,0.999726915,0.000446929
-1.261308197,1.000525754,0.000488827
-1.259919308,1.000102082,0.000461283
-1.258530419,0.99971746,0.000306368
-1.25714153,1.000112358,0.000518175
-1.255752642,1.000147162,0.000390553
-1.254363753,0.999987462,0.00050088
-1.252974864,1.001088504,0.00057407
-1.251585975,1.00045738,0.000386484
-1.250197086,1.000177992,0.000297932
-1.248808197,0.999313656,0.000431816
-1.247419308,1.000869543,0.000347226
-1.246030419,1.000363657,0.000160594
-1.24464153,0.999350241,0.000271986
-1.243252642,1.000908594,0.000505232
-1.241863753,1.000466972,0.000410737
-1.240474864,1.001039313,0.000373057
-1.239085975,0.999249393,0.000440469
-1.237697086,0.999634699,0.000439724
-1.236308197,0.999707458,0.000385994
-1.234919308,1.000560284,0.000479835
-1.233530419,1.000263631,0.000669153
-1.23214153,1.000601253,0.000646164
-1.230752642,0.999348391,0.000357413
-1.229363753,1.00022869,0.000524488
-1.227974864,1.000375989,0.000339379
-1.226585975,1.00045368,0.000481886
-1.225197086,0.999237814,0.000573279
-1.223808197,1.00055631,0.000467074
-1.222419308,0.999450678,0.000352036
-1.221030419,1.000312137,0.000389976
-1.21964153,1.000600157,0.000503125
-1.218252642,0.999721228,0.000398165
-1.216863753,0.999897781,0.000351961
-1.215474864,1.000131541,0.000435458
-1.214085975,0.999539468,0.000440894
-1.212697086,0.999270083,0.000351847
-1.211308197,0.999099422,0.000611523
-1.209919308,1.00023376,0.000340849
-1.208530419,1.000334882,0.000432311
-1.20714153,1.000191694,0.000660362
-1.205752642,1.000253354,0.000677755
-1.204363753,1.000018087,0.00025947
-1.202974864,1.000144421,0.000255155
-1.201585975,1.000252532,0.000568402
-1.200197086,1.000050561,0.000336903
-1.198808197,1.000705664,0.000511395
-1.197419308,1.001262111,0.00065453
-1.196030419,1.000779382,0.000664891
-1.19464153,0.999901001,0.000385748
-1.193252642,1.00045738,0.000464114
-1.191863753,0.999841397,0.000442842
-1.190474864,1.000742249,0.000669161
-1.189085975,1.000231842,0.000522251
-1.187697086,0.998988845,0.000538224
-1.186308197,1.000163879,0.000455689
-1.184919308,0.999831942,0.000525233
-1.183530419,1.000171141,0.000433287
-1.18214153,1.000767461,0.000162072
-1.180752642,1.000639208,0.000520702
-1.179363753,1.000073307,0.000371055
-1.177974864,0.999347911,0.000342933
-1.176585975,0.999601128,0.00030836
-1.175197086,0.999805223,0.000540356
-1.173808197,0.999972733,0.000348077
-1.172419308,0.999899905,0.000306003
-1.171030419,1.000244996,0.000365011
-1.16964153,1.000230745,0.000462365
-1.168252642,0.999894493,0.000317989
-1.166863753,0.999692317,0.000313759
-1.165474864,1.000397912,0.000542339
-1.164085975,1.00021718,0.000261433
-1.162697086,0.999755689,0.00051436
-1.161308197,1.000182514,0.000469884
-1.159919308,1.00028665,0.000717577
-1.158530419,1.000151821,0.00051635
-1.15714153,1.000444637,0.000345315
-1.155752642,0.99988819,0.000478476
-1.154363753,1.000239378,0.000562528
-1.152974864,0.999723421,0.000383074
-1.151585975,0.999934983,0.000495217
-1.150197086,1.000595087,0.000357986
-1.148808197,0.999690741,0.000493064
-1.147419308,0.999450678,0.000547171
-1.146030419,0.999905729,0.000419293
-1.14464153,1.000077966,0.000454164
-1.143252642,1.000089475,0.00045947
-1.141863753,1.000213618,0.000781725
-1.140474864,1.000597554,0.000375395
-1.139085975,0.99988819,0.00035132
-1.137697086,1.000386128,0.000219171
-1.136308197,0.999164233,0.000311452
-1.134919308,1.000277881,0.000332732
-1.133530419,0.999719721,0.000413797
-1.13214153,1.000203889,0.000305043
-1.130752642,1.00046382,0.000369596
-1.129363753,0.999235211,0.000382091
-1.127974864,1.001119745,0.000397234
-1.126585975,1.000022335,0.000621661
-1.125197086,1.000452173,0.000486609
-1.123808197,1.000504379,0.000463864
-1.122419308,1.000332005,0.000371805
-1.121030419,0.999823652,0.000532401
-1.11964153,1.000039736,0.000543744
-1.118252642,0.999888807,0.00039952
-1.116863753,1.00016977,0.000355092
-1.115474864,0.999990614,0.000402165
-1.114085975,0.999118057,0.000290875
-1.112697086,0.999898193,0.000468914
-1.111308197,0.99980351,0.000670964
-1.109919308,1.000114688,0.000257114
-1.108530419,0.999243295,0.000545523
-1.10714153,1.000018498,0.000451962
-1.105752642,0.999064618,0.000371979
-1.104363753,1.000228553,0.000538145
